                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.897,                 3.5302,                 1.5856,                0.02638,                0.03873,                0.01195,                0.00442,                 1.7252,                 3.6423,                 1.5643,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.6764,                 2.4961,                 1.5017,                0.27949,                0.25439,                0.26889,                0.15223,                 1.3925,                 1.9034,                 1.3913,               0.088236,              0.0012356,              0.0012356
                      2,                  1.415,                 1.6491,                 1.4171,                0.26897,                0.38768,                0.36947,                0.23085,                 1.2566,                 1.4843,                 1.3076,               0.081802,               0.001802,               0.001802
                      3,                 1.3081,                  1.276,                 1.2484,                0.24764,                0.63935,                0.43638,                0.27214,                 1.2003,                 1.4441,                 1.2316,               0.075299,               0.002299,               0.002299
                      4,                 1.2764,                 1.1285,                 1.1869,                0.38615,                0.56366,                0.48402,                0.30958,                 1.1768,                  1.148,                 1.1865,               0.068727,              0.0027268,              0.0027268
                      5,                 1.2485,                 1.0575,                 1.1544,                0.42446,                0.74437,                0.50135,                0.32528,                 1.1638,                  1.154,                 1.1726,               0.062085,              0.0030852,              0.0030852
                      6,                 1.2045,                0.98952,                 1.1304,                0.53289,                0.63697,                0.63606,                0.43054,                 1.1478,                0.91486,                 1.1261,               0.055374,              0.0033744,              0.0033744
                      7,                 1.1672,                0.90156,                 1.1414,                0.54651,                0.60153,                0.59691,                0.39933,                 1.1413,                0.98478,                 1.1158,               0.048594,              0.0035943,              0.0035943
                      8,                 1.1148,                0.81453,                 1.0946,                 0.7298,                0.64817,                0.74068,                0.46654,                 1.1735,                0.98135,                 1.1376,               0.041745,              0.0037448,              0.0037448
                      9,                 1.1582,                0.76352,                 1.0814,                0.63735,                0.77531,                0.77106,                 0.5002,                 1.1757,                  0.854,                 1.1331,               0.034826,              0.0038261,              0.0038261
                     10,                 1.1323,                0.87283,                  1.093,                0.81464,                0.79861,                0.83514,                0.54793,                 1.1466,                0.74826,                 1.1209,               0.027838,               0.003838,               0.003838
                     11,                 1.0672,                0.71923,                 1.0953,                0.82645,                0.80594,                0.88703,                0.57857,                 1.1467,                0.85349,                 1.1128,               0.020781,              0.0037807,              0.0037807
                     12,                 1.0418,                0.72691,                 1.0605,                0.92453,                0.73838,                0.88267,                0.58506,                 1.1352,                  0.747,                 1.1154,               0.013654,               0.003654,               0.003654
                     13,                 1.1195,                0.70758,                 1.0689,                0.84247,                0.77654,                0.90569,                0.61101,                 1.1514,                0.86111,                  1.117,               0.006458,               0.003458,               0.003458
                     14,                 1.0552,                0.65738,                 1.0666,                0.94356,                  0.759,                0.89079,                0.60205,                 1.1586,                0.73712,                  1.115,                0.00307,                0.00307,                0.00307
                     15,                 1.0368,                0.65509,                 1.0559,                0.70801,                0.63345,                0.71519,                0.46414,                 1.1881,                0.86331,                 1.1354,                0.00307,                0.00307,                0.00307
                     16,                 1.0602,                0.62475,                 1.0751,                0.69925,                0.66998,                0.70931,                0.45342,                 1.1932,                0.85565,                 1.1398,               0.002575,               0.002575,               0.002575
                     17,                 1.0083,                0.60408,                 1.0344,                0.85954,                0.59094,                0.76934,                0.52068,                 1.1612,                0.79396,                  1.111,                0.00208,                0.00208,                0.00208
                     18,                0.93778,                0.55835,                 1.0085,                0.90233,                0.63696,                0.80896,                0.53936,                 1.1494,                0.72901,                 1.0912,               0.001585,               0.001585,               0.001585
                     19,                 1.0063,                0.57849,                 1.0221,                0.89274,                0.67289,                0.84325,                0.56354,                 1.1349,                0.69181,                 1.0779,                0.00109,                0.00109,                0.00109
